Index Name,Date,Open,High,Low,Close,Daily Return,Vol20,
NIFTY 50,22-Oct-19,11657.15,11714.35,11573.65,11588.35,-0.006322547,0.015294754,
NIFTY 50,23-Oct-19,11596.2,11651.6,11554.4,11604.1,0.001358201,0.010345615,
NIFTY 50,24-Oct-19,11661.65,11679.6,11534.65,11582.6,-0.001854512,0.008162689,
NIFTY 50,25-Oct-19,11646.15,11646.9,11490.75,11583.9,0.000112231,0.008159625,
NIFTY 50,27-Oct-19,11662.25,11672.4,11604.6,11627.15,0.003726678,0.007610747,
NIFTY 50,29-Oct-19,11643.95,11809.4,11627.35,11786.85,0.013641623,0.007790321,
NIFTY 50,30-Oct-19,11883.9,11883.95,11784.45,11844.1,0.00484535,0.007702773,
NIFTY 50,31-Oct-19,11890.45,11945,11855.1,11877.45,0.002811791,0.007626444,
NIFTY 50,1-Nov-19,11886.6,11918.3,11843.35,11890.6,0.001106528,0.007111857,
NIFTY 50,4-Nov-19,11928.9,11989.15,11905.35,11941.3,0.004254808,0.0069636,
NIFTY 50,5-Nov-19,11974.6,11978.95,11861.9,11917.2,-0.002020245,0.006116249,
NIFTY 50,6-Nov-19,11911.5,12002.9,11850.25,11966.05,0.004090739,0.005853189,
NIFTY 50,7-Nov-19,12021.1,12021.4,11946.85,12012.05,0.003836839,0.00499061,
NIFTY 50,8-Nov-19,11987.15,12034.15,11888.75,11908.15,-0.008687273,0.005180681,
NIFTY 50,11-Nov-19,11879.2,11932.65,11853.95,11913.45,0.000444974,0.005146083,
NIFTY 50,13-Nov-19,11908.3,11946.8,11823.2,11840.45,-0.006146378,0.005502862,
NIFTY 50,14-Nov-19,11858.75,11895.65,11802.65,11872.1,0.002669474,0.005351399,
NIFTY 50,15-Nov-19,11904.2,11973.65,11879.25,11895.45,0.001964864,0.005343836,
NIFTY 50,18-Nov-19,11915.15,11946.2,11867.6,11884.5,-0.000920944,0.004956077,
NIFTY 50,19-Nov-19,11919.45,11958.85,11881.75,11940.1,0.004667453,0.004870783,
NIFTY 50,20-Nov-19,12004.75,12038.6,11966.05,11999.1,0.004929164,0.004601069,
NIFTY 50,21-Nov-19,12025.65,12028.2,11956.9,11968.4,-0.002561804,0.004700676,
NIFTY 50,22-Nov-19,11967.3,11968.1,11883.5,11914.4,-0.004522091,0.004838066,
NIFTY 50,25-Nov-19,11922.45,12084.5,11919.75,12073.75,0.013285922,0.005502866,
NIFTY 50,26-Nov-19,12110.2,12132.45,12006.35,12037.7,-0.002990283,0.005600596,
NIFTY 50,27-Nov-19,12068.5,12114.9,12055.15,12100.7,0.00521991,0.004935361,
NIFTY 50,28-Nov-19,12132.1,12158.8,12099.95,12151.15,0.004160513,0.00491189,
NIFTY 50,29-Nov-19,12146.2,12147.4,12017.4,12056.05,-0.007857207,0.0053007,
NIFTY 50,2-Dec-19,12137.05,12137.15,12023.7,12048.2,-0.000651337,0.005308979,
NIFTY 50,3-Dec-19,12067.65,12068.6,11956.4,11994.2,-0.004492072,0.005357174,
NIFTY 50,4-Dec-19,11969.95,12054.7,11935.3,12043.2,0.004076986,0.005396263,
NIFTY 50,5-Dec-19,12071.25,12081.2,11998.75,12018.4,-0.002061377,0.005357565,
NIFTY 50,6-Dec-19,12047.35,12057.05,11888.85,11921.5,-0.008095316,0.005592615,
NIFTY 50,9-Dec-19,11939.1,11981.95,11888.05,11937.5,0.001341213,0.005247352,
NIFTY 50,10-Dec-19,11950.5,11953.2,11844.7,11856.8,-0.006783163,0.00546828,
NIFTY 50,11-Dec-19,11867.35,11923.2,11832.3,11910.15,0.004489435,0.005379935,
NIFTY 50,12-Dec-19,11944.3,12005.5,11934,11971.8,0.005162906,0.005466094,
NIFTY 50,13-Dec-19,12026.4,12098.85,12023.6,12086.7,0.00955179,0.005830223,
NIFTY 50,16-Dec-19,12131.35,12134.65,12046.3,12053.95,-0.002713267,0.005871655,
NIFTY 50,17-Dec-19,12082.45,12182.75,12070.35,12165,0.009170569,0.006112866,
NIFTY 50,18-Dec-19,12197,12237.7,12163.45,12221.65,0.004645993,0.006103444,
NIFTY 50,19-Dec-19,12223.4,12268.35,12191.15,12259.7,0.003108491,0.006064826,
NIFTY 50,20-Dec-19,12266.45,12293.9,12252.75,12271.8,0.000986487,0.00591439,
NIFTY 50,23-Dec-19,12235.45,12287.15,12213.25,12262.75,-0.000737735,0.005232812,
NIFTY 50,24-Dec-19,12269.25,12283.7,12202.1,12214.55,-0.003938348,0.005272872,
NIFTY 50,26-Dec-19,12211.85,12221.55,12118.85,12126.55,-0.0072306,0.005446883,
NIFTY 50,27-Dec-19,12172.9,12258.45,12157.9,12245.8,0.009785757,0.005800957,
NIFTY 50,30-Dec-19,12274.9,12286.45,12213.8,12255.85,0.000820353,0.005466694,
NIFTY 50,31-Dec-19,12247.1,12247.1,12151.8,12168.45,-0.007156837,0.005745401,
NIFTY 50,1-Jan-20,12202.15,12222.2,12165.3,12182.5,0.001153959,0.005624826,
NIFTY 50,2-Jan-20,12198.55,12289.9,12195.25,12282.2,0.008150564,0.005820876,
NIFTY 50,3-Jan-20,12261.1,12265.6,12191.35,12226.65,-0.004533064,0.005914391,
NIFTY 50,6-Jan-20,12170.6,12179.1,11974.2,11993.05,-0.01929068,0.007197158,
NIFTY 50,7-Jan-20,12079.1,12152.15,12005.35,12052.95,0.004982128,0.007270575,
NIFTY 50,8-Jan-20,11939.1,12044.95,11929.6,12025.35,-0.002292522,0.007101808,
NIFTY 50,9-Jan-20,12153.15,12224.05,12132.55,12215.9,0.01572146,0.007824135,
NIFTY 50,10-Jan-20,12271,12311.2,12213.2,12256.8,0.003342503,0.007786932,
NIFTY 50,13-Jan-20,12296.7,12337.75,12285.8,12329.55,0.005917935,0.007621867,
NIFTY 50,14-Jan-20,12333.1,12374.25,12308.7,12362.3,0.002652699,0.007578797,
NIFTY 50,15-Jan-20,12349.4,12355.15,12278.75,12343.3,-0.001538113,0.007366021,
NIFTY 50,16-Jan-20,12347.1,12389.05,12315.8,12355.5,0.000987902,0.007308795,
NIFTY 50,17-Jan-20,12328.4,12385.45,12321.4,12352.35,-0.00025498,0.007285355,
NIFTY 50,20-Jan-20,12430.5,12430.5,12216.9,12224.55,-0.010400104,0.007669936,
NIFTY 50,21-Jan-20,12195.3,12230.05,12162.3,12169.85,-0.004484643,0.007729475,
NIFTY 50,22-Jan-20,12218.35,12225.05,12087.9,12106.9,-0.005186044,0.007764659,
NIFTY 50,23-Jan-20,12123.75,12189,12094.1,12180.35,0.006048459,0.007721295,
NIFTY 50,24-Jan-20,12174.55,12272.15,12149.65,12248.25,0.005559072,0.007500419,
NIFTY 50,27-Jan-20,12197.1,12216.6,12107,12119,-0.010608601,0.007862089,
NIFTY 50,28-Jan-20,12148.1,12163.55,12024.5,12055.8,-0.005228597,0.007788431,
NIFTY 50,29-Jan-20,12114.9,12169.6,12103.8,12129.5,0.00609463,0.007919733,
NIFTY 50,30-Jan-20,12147.75,12150.3,12010.6,12035.8,-0.00775496,0.007833279,
NIFTY 50,31-Jan-20,12100.4,12103.55,11945.85,11962.1,-0.006142223,0.007879462,
NIFTY 50,1-Feb-20,11939,12017.35,11633.3,11661.85,-0.025420488,0.008700925,
NIFTY 50,3-Feb-20,11627.45,11749.85,11614.5,11707.9,0.003940997,0.008663766,
NIFTY 50,4-Feb-20,11786.25,11986.15,11783.4,11979.65,0.022945549,0.01023116,
NIFTY 50,5-Feb-20,12005.85,12098.15,11953.35,12089.15,0.009098979,0.009786588,
NIFTY 50,6-Feb-20,12120,12160.6,12084.65,12137.95,0.004028552,0.009802034,
NIFTY 50,7-Feb-20,12151.15,12154.7,12073.95,12098.35,-0.003267828,0.0097008,
NIFTY 50,10-Feb-20,12102.35,12103.55,11990.75,12031.5,-0.005540869,0.009713806,
NIFTY 50,11-Feb-20,12108.4,12172.3,12099,12107.9,0.006329922,0.009864209,
NIFTY 50,12-Feb-20,12151,12231.75,12144.3,12201.2,0.007676175,0.010045526,
NIFTY 50,13-Feb-20,12219.55,12225.65,12139.8,12174.65,-0.002178386,0.010050969,
NIFTY 50,14-Feb-20,12190.15,12246.7,12091.2,12113.45,-0.005039516,0.009848813,
NIFTY 50,17-Feb-20,12131.8,12159.6,12037,12045.8,-0.005600354,0.009875952,
NIFTY 50,18-Feb-20,12028.25,12030.75,11908.05,11992.5,-0.004434597,0.00985865,
NIFTY 50,19-Feb-20,12090.6,12134.7,12042.1,12125.9,0.011062206,0.010094183,
NIFTY 50,20-Feb-20,12119,12152,12071.45,12080.85,-0.003722107,0.010027446,
NIFTY 50,24-Feb-20,12012.55,12012.55,11813.4,11829.4,-0.021033596,0.01081065,
NIFTY 50,25-Feb-20,11877.5,11883.05,11779.9,11797.9,-0.002666409,0.010775639,
NIFTY 50,26-Feb-20,11738.55,11783.25,11639.6,11678.5,-0.010172005,0.010819312,
NIFTY 50,27-Feb-20,11661.25,11663.85,11536.7,11633.3,-0.003877869,0.010743249,
NIFTY 50,28-Feb-20,11382,11384.8,11175.05,11201.75,-0.037801659,0.013428891,
NIFTY 50,2-Mar-20,11387.35,11433,11036.25,11132.75,-0.006178801,0.012410093,
NIFTY 50,3-Mar-20,11217.55,11342.25,11152.55,11303.3,0.015203504,0.012952879,
NIFTY 50,4-Mar-20,11351.35,11356.6,11082.15,11251,-0.004637705,0.011579757,
NIFTY 50,5-Mar-20,11306.05,11389.5,11244.6,11269,0.001598579,0.011280186,
NIFTY 50,6-Mar-20,10942.65,11035.1,10827.4,10989.45,-0.025119871,0.012107263,
NIFTY 50,9-Mar-20,10742.05,10751.55,10294.45,10451.45,-0.050194997,0.01575707,
NIFTY 50,11-Mar-20,10334.3,10545.1,10334,10458.4,0.000664758,0.015854671,
NIFTY 50,12-Mar-20,10039.95,10040.75,9508,9590.15,-0.086668953,0.023521452,
NIFTY 50,13-Mar-20,9107.6,10159.4,8555.15,9955.2,0.037358498,0.025645925,
NIFTY 50,16-Mar-20,9587.8,9602.2,9165.1,9197.4,-0.079174192,0.029821882,
NIFTY 50,17-Mar-20,9285.4,9403.8,8915.6,8967.05,-0.025364087,0.029845975,
NIFTY 50,18-Mar-20,9088.45,9127.55,8407.05,8468.8,-0.057167926,0.031185156,
NIFTY 50,19-Mar-20,8063.3,8575.45,7832.55,8263.45,-0.024546646,0.031061747,
NIFTY 50,20-Mar-20,8284.45,8883,8178.2,8745.45,0.056691389,0.03480673,
NIFTY 50,23-Mar-20,7945.7,8159.25,7583.6,7610.25,-0.139037542,0.044128095,
NIFTY 50,24-Mar-20,7848.3,8036.95,7511.1,7801.05,0.024762317,0.045410832,
NIFTY 50,25-Mar-20,7735.15,8376.75,7714.75,8317.85,0.064145468,0.049122106,
NIFTY 50,26-Mar-20,8451,8749.05,8304.9,8641.45,0.038166585,0.050665338,
NIFTY 50,27-Mar-20,8949.1,9038.9,8522.9,8660.25,0.002173198,0.050753611,
NIFTY 50,30-Mar-20,8385.95,8576,8244,8281.1,-0.044767781,0.050943635,
NIFTY 50,31-Mar-20,8529.35,8678.3,8358,8597.75,0.037524731,0.052266781,
NIFTY 50,1-Apr-20,8584.1,8588.1,8198.35,8253.8,-0.040826841,0.052181592,
NIFTY 50,3-Apr-20,8356.55,8356.55,8055.8,8083.8,-0.020811641,0.052126086,
NIFTY 50,7-Apr-20,8446.3,8819.4,8360.95,8792.2,0.084002906,0.05669127,
NIFTY 50,8-Apr-20,8688.9,9131.7,8653.9,8748.75,-0.004954132,0.056632611,
NIFTY 50,9-Apr-20,8973.05,9128.35,8904.55,9111.9,0.040670419,0.05700022,
NIFTY 50,13-Apr-20,9103.95,9112.05,8912.4,8993.85,-0.013040241,0.056987401,
NIFTY 50,15-Apr-20,9196.4,9261.2,8874.1,8925.3,-0.00765107,0.053866625,
NIFTY 50,16-Apr-20,8851.25,9053.75,8821.9,8992.8,0.007534317,0.053080381,
NIFTY 50,17-Apr-20,9323.45,9324,9091.35,9266.75,0.030008468,0.050616718,
NIFTY 50,20-Apr-20,9390.2,9390.85,9230.8,9261.85,-0.000528912,0.050255369,
NIFTY 50,21-Apr-20,9016.95,9044.4,8909.4,8981.45,-0.030742474,0.048959152,
NIFTY 50,22-Apr-20,9026.75,9209.75,8946.25,9187.3,0.022660756,0.048701599,
NIFTY 50,23-Apr-20,9232.35,9343.6,9170.15,9313.9,0.013685812,0.047240569,
NIFTY 50,24-Apr-20,9163.9,9296.9,9141.3,9154.4,-0.01727327,0.033919839,
NIFTY 50,27-Apr-20,9259.7,9377.1,9250.35,9282.3,0.013874723,0.033744472,
NIFTY 50,28-Apr-20,9389.8,9404.4,9260,9380.9,0.010566346,0.031136412,
NIFTY 50,29-Apr-20,9408.6,9599.85,9392.35,9553.35,0.018216171,0.030362056,
NIFTY 50,30-Apr-20,9753.5,9889.05,9731.5,9859.9,0.031584148,0.030924156,
NIFTY 50,4-May-20,9533.5,9533.5,9266.95,9293.5,-0.059160796,0.032315856,
NIFTY 50,5-May-20,9429.4,9450.9,9190.75,9205.6,-0.009503237,0.031586155,
NIFTY 50,6-May-20,9226.8,9346.9,9116.5,9270.9,0.007068468,0.029821639,
NIFTY 50,7-May-20,9234.05,9277.85,9175.9,9199.05,-0.007780244,0.029347964,
NIFTY 50,8-May-20,9376.95,9382.65,9238.2,9251.5,0.005685483,0.022994361,
NIFTY 50,11-May-20,9348.15,9439.9,9219.95,9239.2,-0.001330399,0.022946379,
NIFTY 50,12-May-20,9168.85,9240.85,9043.95,9196.55,-0.004626888,0.021170976,
NIFTY 50,13-May-20,9584.2,9584.5,9351.1,9383.55,0.020129743,0.021355965,
NIFTY 50,14-May-20,9213.95,9281.1,9119.75,9142.75,-0.025996941,0.022176041,
NIFTY 50,15-May-20,9182.4,9182.4,9050,9136.85,-0.000645528,0.022128517,
NIFTY 50,18-May-20,9158.3,9158.3,8806.75,8823.25,-0.034925404,0.022378795,
NIFTY 50,19-May-20,8961.7,9030.35,8855.3,8879.1,0.006309918,0.022461821,
NIFTY 50,20-May-20,8889.15,9093.8,8875.35,9066.55,0.020891616,0.021959419,
NIFTY 50,21-May-20,9079.45,9178.55,9056.1,9106.25,0.004369174,0.021359339,
NIFTY 50,22-May-20,9067.9,9149.6,8968.55,9039.25,-0.007384785,0.021144329,
NIFTY 50,26-May-20,9099.75,9161.65,8996.65,9029.05,-0.001129049,0.020815948,
NIFTY 50,27-May-20,9082.2,9334,9004.25,9314.95,0.031173479,0.021789587,
NIFTY 50,28-May-20,9364.95,9511.25,9336.5,9490.1,0.018628514,0.022064772,
NIFTY 50,29-May-20,9422.2,9598.85,9376.9,9580.3,0.009459757,0.021781435,
NIFTY 50,1-Jun-20,9726.85,9931.6,9706.95,9826.15,0.025338293,0.021347337,
NIFTY 50,2-Jun-20,9880.85,9995.6,9824.05,9979.1,0.015445707,0.016454582,
NIFTY 50,3-Jun-20,10108.3,10176.2,10035.55,10061.55,0.008228322,0.016189302,
NIFTY 50,4-Jun-20,10054.25,10123.85,9944.25,10029.1,-0.003230361,0.016265092,
NIFTY 50,5-Jun-20,10093.8,10177.8,10040.75,10142.15,0.01120914,0.016098901,
NIFTY 50,8-Jun-20,10326.75,10328.5,10120.25,10167.45,0.002491434,0.016106331,
NIFTY 50,9-Jun-20,10181.15,10291.15,10021.45,10046.65,-0.011952196,0.01648697,
NIFTY 50,10-Jun-20,10072.6,10148.75,10036.85,10116.15,0.006893911,0.016363533,
NIFTY 50,11-Jun-20,10094.1,10112.05,9885.05,9902,-0.0213964,0.016935919,
NIFTY 50,12-Jun-20,9544.95,9996.05,9544.35,9972.9,0.007134657,0.015545657,
NIFTY 50,15-Jun-20,9919.35,9943.35,9726.35,9813.7,-0.016092046,0.016177527,
NIFTY 50,16-Jun-20,10014.8,10046.15,9728.5,9914,0.010168531,0.013440354,
NIFTY 50,17-Jun-20,9876.7,10003.6,9833.8,9881.15,-0.003318998,0.013593761,
NIFTY 50,18-Jun-20,9863.25,10111.2,9845.05,10091.65,0.021079447,0.013605126,
NIFTY 50,19-Jun-20,10119,10272.4,10072.65,10244.4,0.015022866,0.013772002,
